地名名稱,漢語拼音,通用拼音,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名意義,地名年代時間(起),地名年代時間(迄),地名類型,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,X坐標,Y坐標
赤石六山,Chishiliu Mountain,Chihshihliou Mountain,,新北市,萬里區,雙興里,,,迄今,自然地理實體,,,為北方之山，標高462尺。,,現在本地人稱之赤石六山不多。,,287782.954,2778175.369
磺嘴山,Huangzui Mountain,Huangzuei Mountain,,新北市,萬里區,雙興里,,,迄今,自然地理實體,,,位於本村與金山鄉的交界處，海拔約為900公尺，為大屯火山群。,,清末的《淡水平訪冊》記載，磺山出磺處，一處在山之南日磺嘴，故名。,,286532.124,2777302.113
絲線嶺,Sixian Mountain,Sihsian Mountain,,新北市,林口區,湖南里,,,迄今,自然地理實體,閩南,閩南,,為106線到往下福、林口發電廠方向，菁湖南村後的一條5米寬幽靚小徑，經過「十字溝」，至「寶福橋」後，這段山頂稜線，即是「絲線嶺」。,,林口鄉志(民90),286300.735,2776552.347
林口溪,Linkou River,Linkou River,,新北市,林口區,南勢里,,,迄今,自然地理實體,,,,發源於南勢村南勢埔一帶，源頭標高約200公尺，流經頂福村、下福村，至頂寮附近入海。,,林口鄉志(民90),281861.0331,2777808.833
馬山,Ma Mountain,Ma Mountain,,新北市,林口區,東勢里,,光復後,迄今,自然地理實體,,,今文化一路附近,台灣光復後，林口美軍基地設於今文化一路附近，並將該地取名為馬山。,,林口鄉志(民90),287140.448,2773432.176
打鐵潭,Datie Lake,Datie Lake,,新北市,林口區,頂福里,,,迄今,自然地理實體,閩南,閩南,,即今頂福村之一鄰周厝。關於打鐵潭地名之由來，據當地耆老，有下列幾種說法：首先，早期住民至本鄉開墾，需要鋤頭等農具，打鐵店遂相伴而生，故該處早期有打鐵店，此說法可信度高。其次，該地土壤含鐵成分高，土質較為堅固，聚水成潭，不易流失，故得名。另一說法是，早期該地流傳每逢天候變化，該潭即發出鏗鏘聲，音似打鐵，故名之。或說今頂福州厝下方，兩條溪水匯流處，音狹小又常有落葉阻塞，當水流挾帶落葉，自高處掉落該潭時，擊水聲似打鐵，故名之，此說法可信度亦高。,,林口鄉志(民90),286065.8553,2775168.132
後坑溪,Houkeng River,Houkeng River,,新北市,林口區,太平里,,,迄今,自然地理實體,,,,發源於太平村太平嶺北面，源頭標高約110公尺，流經後坑，至太平村北境入海，幹流長度約2.50公里。,,林口鄉志(民90),284311.4147,2780422.39
觀音山,Guanyin Mountain,Guanyin Mountain,興直山、新直山、八里坌山、佛山,新北市,林口區,太平里,,,迄今,自然地理實體,,,,觀音山主峰海拔611公尺，盤40平方公里有餘，在淡水河河口之南岸，此山有十八小山峰（十八羅漢）環繞中央主峰（觀音山），從北岸眺望，山形宛若觀音朝天，因而得名。,,林口鄉志(民90),,
北勢坑溪,Beishikeng River,Beishihkeng River,,新北市,五股區,集福里,因北勢坑而名溪流，坑溪發源觀音山麓注入獅子頭港即淡水河。,,迄今,自然地理實體,,,,獅子頭山勢由觀音山延有許多谷流小溪，北勢坑溪即其中一流餘為小谷流，本省大多名之曰溪方圍多樹林竹林故竹筍為居民種作收成之大宗。,,,295856.52,2777905.86
雞母嶺,Jimu Mountain,Jimu Mountain,,新北市,貢寮區,美豐里,早年雉雞甚多，因而名之,,迄今,自然地理實體,,,美豐村的北方，介於澳底與雙溪之間,1.道光時漳州簡姓所闢，地處偏僻，林茂草密，為野獸出入之處，閩南語中雉雞稱之為蛙雞，即雞母之意。原豐珠村，於民國62年合併(與五美村合併為美豐村)。據說當時此處，雉雞(閩南語音為「啼雞」甚多，因而名之，現在已不見蹤跡。2.地質上，屬基隆火山群，由火成岩體構成，屬噴出岩體。3.與草山相連，早年，金瓜石、九份採礦興盛時，居民由此越嶺道於金瓜石、九份採礦。,本區地勢高，有如世外桃源，因位居山丘之上，居高臨下，遠近景緻盡收眼底，凡澳底漁港、美灩山街、金沙灣及和美街一帶，盡收眼底，無論是觀日或欣賞夜景，讓人難忘。豐珠國小位於此地。當年，據說林李成抗日即於此地與日軍對抗，雖不敵而逃往山區(泰平村)，但為貢寮鄉民保家愛國寫下可歌可泣的一頁，永為地方父老傳誦。,雙溪鄉志、山海之美-貢寮鄉,339906.8083,2773736.093
